month,avg_precipitation
Jan-16,58
Feb-16,52
Mar-16,55
Apr-16,61
May-16,59
Jun-16,67
Jul-16,73
Aug-16,65
Sep-16,79
Oct-16,75
Nov-16,62
Dec-16,58
Jan-17,52
Feb-17,46
Mar-17,50
Apr-17,52
May-17,52
Jun-17,60
Jul-17,75
Aug-17,75
Sep-17,68
Oct-17,71
Nov-17,53
Dec-17,46
Jan-18,49
Feb-18,40
Mar-18,60
Apr-18,52
May-18,62
Jun-18,60
Jul-18,66
Aug-18,68
Sep-18,71
Oct-18,63
Nov-18,63
Dec-18,50
Jan-19,44
Feb-19,47
Mar-19,50
Apr-19,52
May-19,47
Jun-19,65
Jul-19,76
Aug-19,74
Sep-19,79
Oct-19,71
Nov-19,66
Dec-19,57
